Demanded_Gas
1819.58
1895.33
1765.86
1642.7
1895.54
2051.72
1962.05
1889.66
1739.1
1695.92
1648.95
1560.98
1610.45
1806.33
2006.88
2108.31
2298.9
2398.88
2480.62
2413.08
2298.49
2273.91
2134.41
2025.98
2108.85
2006.81
2259.02
2036.62
2361.78
2567.22
2618.43
2579.35
2506.83
2657.24
2577.97
2489.39
2548.33
2694.39
2575.71
2600.26
2562.91
2689.6
2598.57
2561.87
2404.84
2503.78
2482.93
2383.92
2364.05
2377.22
2536.7
2585.33
2782.32
2786.68
2866
2939.05
2943.11
2733.51
2679.06
2615.28
2452.18
2415.37
2460.19
2643.9
2864.36
2991.73
2917.25
2846.52
2540.74
2551.87
2655.23
2690.02
2662.78
2741.3
2802.85
2787.8
2964.66
3073.95
3065.73
3016.1
2822.19
2670.82
2591.47
2665.53
2732.35
2712.34
2772.88
2619.31
2955.93
3118.81
3035.23
3107.21
3037.41
2766.59
2681.8
2602.73
2823.51
2864.93
2761.36
2893.01
3112.88
3258.9
3238.75
3315.44
3305.59
3079.38
2825.44
2759.08
2837.06
2933.25
2997.46
3181.93
3201.21
3248.36
3064.23
3370.22
3547.07
3284.34
3073.01
2940.49
3214.04
3310.43
3296.65
3109.79
3253.82
3358.52
3658.49
3432.34
3514.52
3417.37
3324.2
3490.3
3143.12
3036.73
3150.76
3282.65
3130.28
3575.49
3614.35
3576.18
3465.07
3381.48
3167.43
2879.86
2690.93
2815.47
2838.2
2914.01
3119.05
3253.94
3491.19
3491.77
3339.67
3017.18
3135.4
2983.61
3041.46
3186.84
3203.37
3222.52
3270.33
3479.69
3751.09
3620.71
3664.34
3765.69
3772.25
3676.41
3500.08
3647.6
3807.71
3750.5
3876.48
4184.76
4361.97
4343.61
4445.27
3037.44
3076.62
2947.09
3402.47
3402.47
3819.3
4235.25
4387.91
5168.27
4581.99
4163.77
4451.61
3869.77
3996.14
3941.12
3298.43
3454.21
3681.3
4104.82
4243.93
4985.53
4631.85
4098.81
4424.39
4417.51
4557.36
4538.89
3320.75
3449.8
3206.96
3403.44
3350.03
3498.7
3350.97
3506.42
3778.37
