"Defores"	"Elev"	"Pendiente"	"Dist.rio"	"Dist.ciudad"	"Dist.pueblo"	"Dist.carP"	"Dist.carS"	"Dist.agri"	"Insolac"
0	1206.6	21.9	234.3	35054.8	3623.1	6294.9	67.1	2832.1	3369.2
0	864	14	1008.5	30047.3	3783	10762.4	30	3542.7	4305.3
0	1081	21.9	1925.9	29057.9	3872.2	11697.3	902.5	4320.9	3178.7
0	744.4	14.3	2130.8	15064.6	3276.7	5353.9	1465.1	1702.6	3696.4
0	631.3	11.3	3838.2	13089.8	2494.5	4561.6	1583.2	1481.9	3565.8
0	597.9	12.2	4123.2	12073.2	2637.6	4164.8	1312.1	1209.3	3612.4
1	60.4	12.7	241.9	65080.8	1805	17600.6	953.4	84.9	3800.1
1	309.2	5.8	1332.6	62680.4	1782.2	11673	1159.2	42.4	3722
1	300	0	573.1	61626.6	3476.4	8746.4	2131.9	120	3909.2
1	200	0	108.2	58354.8	2698.3	8039.7	577.1	241.9	3861.4
0	324.2	24.3	349.9	49050	1931.5	5303.3	953.4	218.4	2859.3
0	308.9	27.7	863.8	48030	2765.4	5255.5	1027	189.7	3423.1
0	317.3	17.4	234.3	47040	3665.9	5392.2	1273.1	342.1	3127.6
0	486.9	22	60	46050	4603.3	5700.1	1997.2	926.1	3914
1	661.1	24.1	558	42030	5670.7	5036.1	1031	2563.4	3714.6
0	673.1	16.5	201.2	39030	6996.4	4809.8	530.8	2456.5	3728.6
0	740.8	16.5	1235.5	36030	4964.9	6228.5	658	3160.3	4170.9
1	688.2	23.5	1415.1	34050	4298	7680.5	882.8	3112.2	4217.4
0	678.7	18.9	1636.9	33030	4207.9	8512	990	3423.3	3459.8
1	815.1	18.6	1507.5	31050	3025.4	10224	335.4	3730.1	3748.4
0	934.4	24.6	2724.1	27030	3988.3	11773.5	2010.2	4185.5	4360.8
1	783.2	30.8	807.8	22050	7905.1	8876.2	968.4	7173.2	4612.1
1	726	11	750	20040	6540.1	8163.6	720.6	5834.6	4379.4
1	1065.5	16.9	989.5	17040	5326.6	7030.5	523.9	3567.9	4617.8
1	999.4	19.9	2430.7	15030	4080.1	6267.7	2255.4	2673.2	3206.7
0	892.6	33.5	3359.2	14040	3662	5899.6	2864.5	2700.8	3054.3
0	876.1	31.5	3747.6	12030	3587.1	5109.9	2292.6	2006.6	2435.9
1	250	0	885.9	62499.4	570.8	13523.3	180	30	3881.6
1	300	2	1793.2	62114	421.1	12537.6	499.3	123.7	3915.3
1	200	1	730.5	57188.8	2176.8	6024.3	360	30	3798.6
1	560.8	19.9	617.7	48038.4	3373.5	6274.6	2043.5	566	3652.5
1	524.1	30.2	618.5	47048.6	4143.9	6389.5	2191.6	1276.3	3374
0	924.8	27.5	685.4	44049.2	5763.2	6889.6	2089.7	1973.6	3684.3
0	902.8	9.4	1086.6	42039.6	6523.9	5995.8	1026.2	3229.4	4312.1
0	649	12.5	517.9	41049.9	7080.6	5766	454	3122.6	3634.1
0	643.7	24.6	1323.1	38050.6	6976.5	6074.5	833.5	2713.5	3719.8
1	518	24.4	2184	36041.2	5863.5	7027.2	1642.3	2255.4	4367.9
1	553.1	17.3	2195.1	35051.6	5455.1	7648.5	1484.9	1980.9	3477.2
0	513.5	28.9	2325.7	34061.9	4530.1	8341.3	1636.9	2187.5	3406.2
1	837.9	28.5	2251.8	32052.6	2792.6	9904.5	1672.8	2581	3897.3
1	744.2	21.9	2391	28064.4	2545.9	13216	2419.6	2965.3	4486.6
0	586.4	9.9	1878.8	27045	3354.9	12504.1	1950	3273.7	4278.6
0	514.8	10.1	94.9	22068.4	8027.6	9815.9	30	7088.4	4248.1
0	549.7	0.8	305.9	21049.3	7951.4	9452.6	120	7236.2	3980.2
1	763.6	8.2	774.2	18052.4	6548.7	8350.8	408	4987.3	4117.9
0	913.7	12.9	1669.8	17063.8	6114.7	7973.1	300	4351.7	4479.7
1	1045.4	13.8	2330.9	16075.2	5493	7598.9	1290	3894.2	3939.9
1	1458.2	32.5	2508	13081	4502.5	6401.3	3485.4	3332.6	2819.2
1	300	0	30	58484.6	780.6	4474.9	1371.2	42.4	3909.4
0	280.1	23.2	1391.7	49085.9	2659.4	2635.9	1851.5	713.1	3074
1	541.5	23.2	313.2	46088.8	5526	7591.8	3330.5	1560.3	4451.3
1	717.1	16.1	150	42072.5	6461.4	6943.8	276.6	2735.4	4410.9
0	433.8	8.9	1180.7	27096	2954.8	13248	1186.8	2400	4208.7
0	400	1.7	362.5	24104.2	5901.8	11557.2	216.3	4837.4	3859
0	610.4	26.1	1041.4	22130.9	7868.8	10737.4	931.5	6729.7	2671.1
0	650.7	4.5	1291.4	21114.8	8753.3	10388.2	1110	7683.7	3936
0	755	6.5	484.7	19143.5	7821.5	9648.9	833.5	6408.6	3913.8
0	937.1	16.4	1213.8	17144.5	6876	8891.3	805	5232.8	3540.1
0	1470.3	34.1	2028.7	15148.4	5888.7	8133.5	2477	4668.9	2451.8
1	1710.5	23.5	1603.5	14166.6	5607.1	7697.4	3436.3	4613.1	3354.1
1	795.2	31.8	2250	11200.6	5767.9	6527.7	2455.1	1944.5	4434.7
1	300	0	1123.3	59525.9	2377.8	10499	933.4	42.4	3907.6
1	300	0	915.9	58806.3	2233.9	8495.9	318.9	247.4	3908.9
1	200	0.5	174.9	51262.4	3140.8	2947.5	457.9	134.2	3837.9
0	321.5	27.5	800.5	47910.1	1689.6	3576.2	2397.2	335.4	3069.8
1	397.8	8.3	997.2	47544.4	2970.6	5584	2942.4	342.1	3635.1
1	410.3	26.3	1455.2	47261.4	4440.9	7592.9	3062.4	918.3	3673.7
1	520.4	24.9	948.7	47128.1	4968.1	8341.2	2629.2	833.5	4442.2
1	304.7	8.7	67.1	46140	5621.5	8543.5	2531.4	948.7	3920.7
0	439.9	20.1	540.8	45122	5908.7	8863.4	2124.9	241.9	4079.4
0	388.2	27.3	180	44134.1	5820.1	8600	1166.9	570	3800.5
0	470.6	9	150	43146.2	5788.1	8202.2	180	1556.5	3966.9
0	715.9	18.9	711.2	42128.6	5489.7	7902	483.7	2187.5	3115.7
0	602.3	15.6	1194.7	40153.4	5435.3	7680.5	174.9	1707.6	4086
0	389.3	29.9	902.5	32169.2	2170.2	11162.1	1060.2	892	3048.4
0	422.9	9.6	700.4	31183.3	1188.7	11900	1110	848.5	3694
1	273.4	6	695.8	30167.8	258.1	12696.2	758.9	662.7	4010.1
0	367.9	9.6	582.5	28197.5	1842	14323.1	725.6	1033.2	4090.8
0	310.6	5.6	161.6	26198.8	3845.7	13446	150	2629.9	3860.3
0	410.3	7.2	816.1	25215	4834.6	12920	684.8	3573.1	3730.2
0	490.1	6.6	1240.2	24202	5853.8	12437	1092	4536.4	3738.5
0	575.8	10.2	1652.2	23219.3	6843.2	12023.1	1533.2	5538.6	3691.7
0	707.3	13.6	2020.9	22237.3	7832.8	11665.6	1905.2	6516.7	3452.5
1	864.2	30.7	2221.2	21226.3	8852.5	11314.8	2100	7497.9	3170.3
0	935.6	22.9	1757.8	20245.9	9125.4	10941.3	2061.9	7808.3	3416.7
0	895.6	7.7	844.8	19266.5	8748.2	10567.9	1734	7159.4	3847.4
0	1000	2	697.8	17281.7	7689.6	9805.4	1703.9	6129.4	4144.5
0	1161.5	19.8	1623.9	16306.3	7205.1	9431.7	2178.7	5813.6	3338.7
0	513.2	6.7	1560	10451	4751.5	6755.3	1129.3	579.4	4088.4
0	300	0	600	57851.5	1344.7	8649.4	1197.7	201.2	3908.8
1	541.4	16	0	46538.1	2561.3	5664	2892	1248.9	4350.7
0	500	0.5	424.3	44212.3	4800.1	9521.9	1170	474.3	3966.3
1	524.3	32.5	1980.9	41224.9	4352.6	8743.4	891	774.2	3736.4
0	232.6	4.7	30	29300.7	1489.5	14103.2	30	60	3991.2
0	476.3	28	1020	26330.4	4032.2	14303.9	920.3	2460.7	2535.2
1	573.3	26.9	1570.4	25351.8	4984.2	13810.6	1514.3	3450.5	2622.2
0	594.9	9.6	2139.3	24344.4	5977.9	13355.4	2040.9	4440.4	3687
1	726	19.2	2573.9	23367.7	6949.7	12969.1	2439.1	5460.3	3581.2
0	1069.7	20.3	1461.1	19445.1	9699.1	11510.8	2658	7575.5	3173.6
0	1056.6	21.5	540.8	18447	9086.6	11125.1	2490	7460.1	3732.3
0	1860	18.5	276.6	15527.1	7796.6	9936.3	3615.2	5220.1	4023
0	1263.9	25.6	174.9	14568.9	7586.1	9557.8	3168.7	4343.4	3961.4
0	946.4	8.7	256.3	13615.2	7501.5	9256.5	2254	3438.9	4133.1
0	773.2	10	108.2	12638.5	6833.9	8712.3	1421.4	2456.5	4247.7
0	618.6	10.3	342.1	11697.3	5886.9	8146	961.9	1455.2	3894.2
1	200	0	997.2	60145.8	5289	16704.6	655.2	60	3846.4
1	246.1	10.1	1731.2	58852.9	4000.8	13755.9	1250.3	30	4068
1	300	0	792	56577.7	1831	7974	853.8	153	3908.9
1	420.6	29.1	123.7	45561.9	1950	5843.8	2356.5	732.4	4419.2
1	330.3	28.2	1462.9	45266.5	2800.5	7801.5	1793.2	641.3	3756.5
0	628.6	19.7	1358.3	42313.5	3548.1	9866.9	189.7	1520.9	3611.3
1	393.5	18	2187.5	41330.3	3363.3	9729	558	595.5	4150.4
0	546.2	22	1994.5	40347.4	3463.4	9690.4	108.2	666.1	3199.6
1	316.2	28.4	446	38353	4405.9	9914.9	569.2	417.9	2672.3
1	581.6	44.3	1320	28473.1	2877	15494	989.5	1090.8	2454.5
1	801	35.9	2341	25522.8	5315.8	14691	2263.6	3615.1	2109.3
1	821.4	25.1	2991.7	24522.5	6257.1	14259.9	2919.3	4569.5	2942.3
0	832.3	9.5	2562.7	23553.2	7191.2	13894.4	3320.8	5565.8	3710.3
0	1288.4	19	810	18679.3	9919.5	12042.1	3480	6831.2	3487.1
0	1333.6	14.6	134.2	17723.9	9445.6	11665.7	3602.1	6748.9	3720
0	1057.9	16.5	695.8	13918.6	6957.7	10120.1	1983.6	2966.5	4479.7
1	969.9	23	630	12960	6150	9518.7	967.5	2147.7	3689.9
0	511.2	5	210	11130.5	4817.7	8454	67.1	827.6	3941.1
1	350	0	1416.1	57130.7	2351.7	12067.3	1140.4	60	3932.4
1	200.6	9.2	457.9	48118.3	1920	3354.1	553.2	42.4	4109.8
0	644.8	18.3	2160.2	42439.3	2629.9	10840.8	766.6	1170.4	3275.8
1	275.6	16	2758	41459.1	2374.7	10715.4	201.2	228.5	3866.1
0	206.6	14	330	34554	5262.4	12294.3	284.6	1578.4	3203.1
1	200	0	134.2	33549.3	4497.4	12830.2	153	1985.7	3817.2
0	520.7	16.5	2180.1	28659.7	3695	16131.7	1077.1	1909.7	3548.5
0	743.9	30.2	2831.1	26695.6	5005	16023.6	2839.2	3204.8	2659.2
0	1574.9	33.7	2066.5	19930.5	9069.7	13343.1	3905.6	5603.5	2519.3
0	798.7	8.6	301.5	13342.8	5559	10347.7	1275.6	1673.6	3989.7
1	646.1	5.4	210	12450.4	4755.6	9820.2	840.5	732.4	3985.5
0	545.2	5.4	256.3	11573.9	4036.1	9298.9	510	523.9	3950.2
1	459.7	0.3	108.2	1239.1	1612.8	1080.4	644.1	30	3981.4
1	306.1	7.6	769	55050.9	2123.2	9726.8	90	30	3968.5
1	250	0	550.7	52372.7	2630.8	3589.2	234.3	30	3884.5
1	200	0	134.2	47188.5	2174.1	3038.2	134.2	30	3853
1	150	0	690.7	43767.3	991.8	4562.1	582.5	30	3825.5
