Año	Data
1986	-1.6
1987	-0.7
1987	-1.4
1987	-2
1987	-2.7
1987	-2
1987	-2.7
1987	-1.8
1987	-1.7
1987	-1.1
1987	-0.7
1987	-0.1
1987	-0.6
1988	-0.3
1988	-0.6
1988	0.1
1988	0
1988	1.1
1988	-0.3
1988	1.1
1988	1.4
1988	1.9
1988	1.5
1988	1.9
1988	1.1
1989	1.5
1989	1.1
1989	0.6
1989	1.6
1989	1.2
1989	0.5
1989	0.8
1989	-0.8
1989	0.6
1989	0.6
1989	-0.4
1989	-0.7
1990	-0.2
1990	-2.4
1990	-1.2
1990	0
1990	1.1
1990	0
1990	0.5
1990	-0.5
1990	-0.8
1990	0.1
1990	-0.7
1990	-0.4
1991	0.6
1991	-0.1
1991	-1.4
1991	-1
1991	-1.5
1991	-0.5
1991	-0.2
1991	-0.9
1991	-1.8
1991	-1.5
1991	-0.8
1991	-2.3
1992	-3.4
1992	-1.4
1992	-3
1992	-1.4
1992	0
1992	-1.2
1992	-0.8
1992	0
1992	0
1992	-1.9
1992	-0.9
1992	-1.1
